ACC,YI,XI,DS_YI,DS_XI,SLOPE
0,69,109,70,108,2.24
0,69,111,70,111,2.01
0,70,50,71,51,15.47
0,70,53,71,54,31.98
0,70,55,71,56,33.06
0,70,56,70,57,30.69
0,70,65,71,64,35.57
0,70,67,71,67,20.19
0,70,68,69,69,19.30
0,70,69,69,70,32.69
0,70,70,69,71,37.09
0,70,72,69,73,36.25
0,70,80,70,81,20.56
0,70,82,71,83,21.55
0,70,83,71,84,29.52
0,70,84,71,85,25.87
0,70,86,71,87,17.80
0,70,87,70,88,19.63
0,70,89,71,90,14.77
0,70,90,70,91,16.49
0,70,96,69,97,13.34
0,70,97,70,98,16.33
0,70,100,71,99,13.11
0,70,101,71,101,9.39
0,70,109,71,108,4.68
0,71,49,72,48,13.18
0,71,50,72,51,20.15
0,71,52,72,53,30.88
0,71,57,72,58,31.61
0,71,58,72,59,36.81
0,71,59,71,60,39.10
0,71,65,72,64,37.41
0,71,68,72,68,24.99
0,71,69,72,69,23.34
0,71,70,70,71,29.23
0,71,71,72,72,33.20
0,71,72,70,73,30.41
0,71,73,70,74,24.89
0,71,74,70,75,22.95
0,71,75,70,76,24.49
0,71,76,70,77,24.08
0,71,77,70,78,22.31
0,71,78,70,79,22.86
0,71,79,71,80,25.21
0,71,86,72,86,24.72
0,71,88,72,89,17.52
0,71,97,71,98,17.81
0,71,100,72,99,16.15
0,71,102,72,101,7.19
0,71,103,72,104,7.51
0,71,110,72,109,5.01
0,71,112,72,112,3.25
0,72,49,73,50,16.67
0,72,50,73,51,23.51
0,72,52,73,53,32.00
0,72,60,73,61,36.76
0,72,61,72,62,34.38
0,72,67,73,66,32.36
0,72,70,73,71,35.38
0,72,71,73,72,39.44
0,72,73,73,74,33.53
0,72,74,73,74,30.68
0,72,75,73,76,29.89
0,72,76,73,77,28.86
0,72,77,73,78,26.21
0,72,78,73,79,25.31
0,72,79,72,80,27.27
0,72,81,72,82,24.46
0,72,88,73,88,19.13
0,72,90,73,91,14.04
0,72,91,73,92,13.63
0,72,92,72,93,12.59
0,72,94,72,95,16.34
0,72,100,73,99,18.23
0,72,102,73,101,10.43
0,72,103,73,104,11.60
0,72,110,73,109,6.00
0,73,48,74,47,17.50
0,73,49,74,50,18.03
0,73,62,74,63,34.41
0,73,63,73,64,37.82
0,73,67,74,67,31.89
0,73,68,74,68,31.94
0,73,70,74,71,36.04
0,73,75,74,76,36.08
0,73,80,74,81,27.09
0,73,82,73,83,27.58
0,73,90,74,91,13.58
0,73,93,73,94,13.12
0,73,102,74,101,16.85
0,73,103,74,104,15.00
0,73,110,74,109,6.89
0,73,112,74,111,3.46
0,74,46,75,45,8.12
0,74,48,75,48,17.80
0,74,49,75,50,20.54
0,74,58,75,59,28.28
0,74,59,74,60,33.02
0,74,66,75,65,34.79
0,74,69,75,70,34.28
0,74,75,75,76,36.10
0,74,79,75,79,28.71
0,74,83,74,84,34.47
0,74,90,75,90,14.26
0,74,95,74,96,13.50
0,74,100,75,100,15.13
0,74,102,75,102,19.74
0,74,103,75,102,15.51
0,74,112,75,112,3.43
0,75,46,76,46,14.51
0,75,49,76,49,25.86
0,75,58,76,58,30.47
0,75,60,75,61,33.54
0,75,66,76,66,34.24
0,75,69,76,70,35.61
0,75,71,76,72,37.62
0,75,80,76,80,25.40
0,75,84,76,85,32.87
0,75,85,75,86,29.57
0,75,92,76,92,11.98
0,75,96,75,97,11.15
0,75,98,75,99,17.45
0,75,103,76,102,18.72
0,75,111,76,110,6.78
0,76,44,77,44,7.10
0,76,48,77,49,23.62
0,76,50,77,51,31.42
0,76,59,77,60,30.17
0,76,61,76,62,30.91
0,76,69,77,69,35.41
0,76,71,77,72,36.92
0,76,76,77,77,32.54
0,76,81,77,82,25.37
0,76,86,76,87,23.40
0,76,93,77,93,12.99
0,76,94,77,95,12.54
0,76,97,77,97,10.29
0,76,98,75,99,9.81
0,76,99,76,100,18.70
0,76,103,77,103,20.67
0,76,108,77,107,10.35
0,76,111,77,110,8.62
0,77,48,78,49,27.28
0,77,59,78,60,28.15
0,77,62,77,63,31.61
0,77,70,78,71,32.96
0,77,76,78,77,30.76
0,77,81,78,82,27.25
0,77,87,78,88,16.42
0,77,94,78,94,19.19
0,77,98,78,98,11.24
0,77,99,76,100,10.98
0,77,100,76,100,17.98
