datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
12/03/2006,0.6,0.4,0,0.3
13/03/2006,0,0,0,0
14/03/2006,0,0,0,0
15/03/2006,0,0,0,0
16/03/2006,0,0,0,0
17/03/2006,0,0,0,0
18/03/2006,1.9,1.3,3.1,2.1
19/03/2006,0.6,0.4,0.4,0.5
20/03/2006,0,0,0,0
21/03/2006,0,0,0,0
22/03/2006,0,0,0,0
23/03/2006,0,0,0,0
24/03/2006,0,0,0,0
25/03/2006,0,0,0,0
26/03/2006,7,4.6,3,4.9
27/03/2006,0,0,0,0
28/03/2006,0.2,0.1,0,0.1
29/03/2006,0.1,0.1,0,0.1
30/03/2006,0.4,0.2,0,0.2
31/03/2006,0,0,0,0
01/04/2006,0,0,0,0
02/04/2006,0,0,0,0
03/04/2006,0,0,0,0
04/04/2006,0,0,0,0
05/04/2006,3.5,2.4,1.9,2.6
06/04/2006,6.1,4.2,3.5,4.6
07/04/2006,0,0,0,0
08/04/2006,0,0,0,0
09/04/2006,0,0,0,0
10/04/2006,24,16.2,15.8,18.7
11/04/2006,18.4,12.4,11.6,14.1
12/04/2006,7.7,5.2,4.3,5.7
13/04/2006,0.6,0.4,0.6,0.5
14/04/2006,1.8,1.2,1.2,1.4
15/04/2006,6.5,4.4,2,4.3
16/04/2006,1.4,0.9,0.8,1
17/04/2006,0,0,0,0
18/04/2006,0,0,0,0
19/04/2006,0,0,0,0
20/04/2006,0,0,0,0
21/04/2006,0,0,0,0
22/04/2006,10,6.8,5.2,7.3
23/04/2006,0,0,0,0
24/04/2006,0,0,0,0
25/04/2006,0,0,0,0
26/04/2006,0,0,0,0
27/04/2006,0,0,0,0
28/04/2006,0,0,0,0
29/04/2006,0.7,0.5,0,0.4
30/04/2006,22.4,15.1,14.8,17.4
01/05/2006,12.2,8.2,3.3,7.9
02/05/2006,2.7,1.8,2.1,2.2
03/05/2006,0,0,0,0
04/05/2006,0,0,0,0
05/05/2006,0,0,0,0
06/05/2006,0,0,0,0
07/05/2006,0,0,0.1,0
08/05/2006,0.2,0.1,0.4,0.2
09/05/2006,0,0,0,0
10/05/2006,0,0,0,0
11/05/2006,0,0,0,0
12/05/2006,0.6,0.4,0.1,0.4
13/05/2006,0,0,0,0
14/05/2006,0,0,0,0
15/05/2006,0,0,0,0
16/05/2006,0,0,0,0
17/05/2006,0,0,0,0
18/05/2006,0.2,0.2,0,0.1
19/05/2006,0.8,0.6,0,0.5
20/05/2006,1.6,1.1,1.3,1.3
21/05/2006,0,0,0,0
22/05/2006,14.2,9.6,3.4,9.1
23/05/2006,0,0,2.3,0.8
24/05/2006,0,0,0,0
25/05/2006,0.1,0.1,0.1,0.1
26/05/2006,26.2,17.7,15.7,19.9
27/05/2006,8.4,5.7,5.4,6.5
28/05/2006,3.1,2.1,0.7,2
29/05/2006,2.8,1.9,0.9,1.9
30/05/2006,0,0,0,0
31/05/2006,0,0,0,0
01/06/2006,0,0,0,0
02/06/2006,1.3,1,0,0.8
03/06/2006,2.6,2.1,1.2,2
04/06/2006,0,0,0,0
05/06/2006,0.9,0.7,0.6,0.7
06/06/2006,0,0,0,0
07/06/2006,0,0,0,0
08/06/2006,15.5,12.1,9.1,12.2
09/06/2006,6,4.7,2.7,4.5
10/06/2006,1,0.8,0.8,0.9
11/06/2006,9.1,7.1,7.8,8
12/06/2006,0.2,0.2,0,0.1
13/06/2006,0,0,0,0
14/06/2006,23.9,18.6,21.8,21.4
15/06/2006,75,58.4,37.3,56.9
16/06/2006,3.1,2.4,1.2,2.2
17/06/2006,0.7,0.5,0.1,0.4
18/06/2006,0,0,0,0
19/06/2006,9.4,7.3,0.9,5.9
20/06/2006,12.6,9.8,15,12.5
21/06/2006,0,0,0,0
22/06/2006,0.9,0.7,0.6,0.7
23/06/2006,0,0,0.7,0.2
24/06/2006,0,0,0,0
25/06/2006,0,0,0,0
26/06/2006,0,0,0,0
27/06/2006,0,0,0,0
28/06/2006,0.1,0.1,0,0.1
29/06/2006,0.1,0.1,0.1,0.1
30/06/2006,0.1,0.1,0,0.1
01/07/2006,2.1,1.6,1.5,1.7
02/07/2006,2.2,1.7,2.5,2.1
03/07/2006,0.2,0.1,0.6,0.3
04/07/2006,2.3,1.8,0.1,1.4
05/07/2006,0,0,0,0
06/07/2006,0,0,0,0
07/07/2006,0,0,0,0
08/07/2006,0,0,0,0
09/07/2006,11.9,9.3,7,9.4
10/07/2006,16.9,13.2,9.9,13.3
11/07/2006,0,0,0,0
12/07/2006,1.3,1,0.3,0.9
13/07/2006,0.3,0.2,0,0.2
14/07/2006,0.2,0.1,0.3,0.2
15/07/2006,0,0,0,0
16/07/2006,0,0,0,0
17/07/2006,0,0,0.2,0.1
18/07/2006,9.9,7.7,3.2,6.9
19/07/2006,0,0,0,0
20/07/2006,0,0,0,0
21/07/2006,0.1,0.1,0,0.1
22/07/2006,0,0,0,0
23/07/2006,10.7,8.3,4.4,7.8
24/07/2006,9.8,7.6,3.1,6.8
25/07/2006,0.1,0.1,0,0.1
26/07/2006,0,0,0,0
27/07/2006,0,0,0,0
28/07/2006,1.5,1.2,6.2,3
29/07/2006,0,0,0,0
30/07/2006,5,3.9,0.9,3.3
31/07/2006,0,0,0.2,0.1
01/08/2006,0,0,0.7,0.2
02/08/2006,0,0,0.5,0.2
03/08/2006,0,0,0.5,0.2
04/08/2006,0,0,0.2,0.1
05/08/2006,0,0,0.5,0.2
06/08/2006,0,0,0.2,0.1
07/08/2006,0,0,0.4,0.1
08/08/2006,0,0,0,0
09/08/2006,8.2,6.4,1.7,5.4
10/08/2006,14,10.9,4.4,9.8
11/08/2006,29.2,22.7,13.9,21.9
12/08/2006,3.4,2.7,2.2,2.8
13/08/2006,0,0,0.1,0
14/08/2006,0,0,0,0
15/08/2006,0.1,0.1,0,0.1
16/08/2006,1.7,1.3,7.4,3.5
17/08/2006,0,0,0,0
18/08/2006,0,0,0,0
19/08/2006,0.1,0.1,0,0.1
20/08/2006,0,0,0,0
21/08/2006,0.2,0.1,0,0.1
22/08/2006,1.7,1.3,0,1
23/08/2006,16.2,12.6,8,12.3
24/08/2006,0,0,0.2,0.1
25/08/2006,0,0,0.1,0
26/08/2006,0,0,0,0
27/08/2006,0,0,0.4,0.1
28/08/2006,0.1,0.1,0,0.1
29/08/2006,1.7,1.3,1.3,1.4
30/08/2006,9.7,7.6,5.6,7.6
31/08/2006,0.2,0.1,0.3,0.2
01/09/2006,0,0,0.1,0
02/09/2006,0.2,0.1,0.1,0.1
